mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin
18,8,307,130.0,3504,12,70,1
15,8,350,165.0,3693,11.5,70,1
18,8,318,150.0,3436,11,70,1
16,8,304,150.0,3433,12,70,1
17,8,302,140.0,3449,10.5,70,1
15,8,429,198.0,4341,10,70,1
14,8,454,220.0,4354,9,70,1
14,8,440,215.0,4312,8.5,70,1
14,8,455,225.0,4425,10,70,1
15,8,390,190.0,3850,8.5,70,1
15,8,383,170.0,3563,10,70,1
14,8,340,160.0,3609,8,70,1
15,8,400,150.0,3761,9.5,70,1
14,8,455,225.0,3086,10,70,1
24,4,113,95.00,2372,15,70,3
22,6,198,95.00,2833,15.5,70,1
18,6,199,97.00,2774,15.5,70,1
21,6,200,85.00,2587,16,70,1
27,4,97,88.00,2130,14.5,70,3
26,4,97,46.00,1835,20.5,70,2
25,4,110,87.00,2672,17.5,70,2
24,4,107,90.00,2430,14.5,70,2
25,4,104,95.00,2375,17.5,70,2
26,4,121,113.0,2234,12.5,70,2
21,6,199,90.00,2648,15,70,1
10,8,360,215.0,4615,14,70,1
10,8,307,200.0,4376,15,70,1
11,8,318,210.0,4382,13.5,70,1
9,8,304,193.0,4732,18.5,70,1
27,4,97,88.00,2130,14.5,71,3
28,4,140,90.00,2264,15.5,71,1
25,4,113,95.00,2228,14,71,3
25,4,98,104.0,2046,19,71,1
19,6,232,100.0,2634,13,71,1
16,6,225,105.0,3439,15.5,71,1
17,6,250,100.0,3329,15.5,71,1
19,6,250,88.00,3302,15.5,71,1
18,6,232,100.0,3288,15.5,71,1
14,8,350,165.0,4209,12,71,1
14,8,400,175.0,4464,11.5,71,1
14,8,351,153.0,4154,13.5,71,1
14,8,318,150.0,4096,13,71,1
12,8,383,180.0,4955,11.5,71,1
13,8,400,170.0,4746,12,71,1
13,8,400,175.0,5140,12,71,1
18,6,258,110.0,2962,13.5,71,1
22,4,140,72.00,2408,19,71,1
19,6,250,100.0,3282,15,71,1
18,6,250,88.00,3139,14.5,71,1
23,4,122,86.00,2220,14,71,1
28,4,116,90.00,2123,14,71,2
30,4,79,70.00,2074,19.5,71,2
30,4,88,76.00,2065,14.5,71,2
31,4,71,65.00,1773,19,71,3
35,4,72,69.00,1613,18,71,3
27,4,97,60.00,1834,19,71,2
26,4,91,70.00,1955,20.5,71,1
24,4,113,95.00,2278,15.5,72,3
25,4,97.5,80.00,2126,17,72,1
23,4,97,54.00,2254,23.5,72,2
20,4,140,90.00,2408,19.5,72,1
21,4,122,86.00,2226,16.5,72,1
13,8,350,165.0,4274,12,72,1
14,8,400,175.0,4385,12,72,1
15,8,318,150.0,4135,13.5,72,1
14,8,351,153.0,4129,13,72,1
17,8,304,150.0,3672,11.5,72,1
11,8,429,208.0,4633,11,72,1
13,8,350,155.0,4502,13.5,72,1
12,8,350,160.0,4456,13.5,72,1
13,8,400,190.0,4422,12.5,72,1
19,3,70,97.00,2330,13.5,72,3
15,8,304,150.0,3892,12.5,72,1
13,8,307,130.0,4098,14,72,1
13,8,302,140.0,4294,16,72,1
14,8,318,150.0,4077,14,72,1
18,4,121,112.0,2933,14.5,72,2
22,4,121,76.00,2511,18,72,2
21,4,120,87.00,2979,19.5,72,2
26,4,96,69.00,2189,18,72,2
22,4,122,86.00,2395,16,72,1
28,4,97,92.00,2288,17,72,3
23,4,120,97.00,2506,14.5,72,3
28,4,98,80.00,2164,15,72,1
27,4,97,88.00,2100,16.5,72,3
13,8,350,175.0,4100,13,73,1
14,8,304,150.0,3672,11.5,73,1
13,8,350,145.0,3988,13,73,1
14,8,302,137.0,4042,14.5,73,1
15,8,318,150.0,3777,12.5,73,1
12,8,429,198.0,4952,11.5,73,1
13,8,400,150.0,4464,12,73,1
13,8,351,158.0,4363,13,73,1
14,8,318,150.0,4237,14.5,73,1
13,8,440,215.0,4735,11,73,1
12,8,455,225.0,4951,11,73,1
13,8,360,175.0,3821,11,73,1
18,6,225,105.0,3121,16.5,73,1
16,6,250,100.0,3278,18,73,1
18,6,232,100.0,2945,16,73,1
18,6,250,88.00,3021,16.5,73,1
23,6,198,95.00,2904,16,73,1
26,4,97,46.00,1950,21,73,2
11,8,400,150.0,4997,14,73,1
12,8,400,167.0,4906,12.5,73,1
13,8,360,170.0,4654,13,73,1
12,8,350,180.0,4499,12.5,73,1
18,6,232,100.0,2789,15,73,1
20,4,97,88.00,2279,19,73,3
21,4,140,72.00,2401,19.5,73,1
22,4,108,94.00,2379,16.5,73,3
18,3,70,90.00,2124,13.5,73,3
19,4,122,85.00,2310,18.5,73,1
21,6,155,107.0,2472,14,73,1
26,4,98,90.00,2265,15.5,73,2
15,8,350,145.0,4082,13,73,1
16,8,400,230.0,4278,9.5,73,1
29,4,68,49.00,1867,19.5,73,2
24,4,116,75.00,2158,15.5,73,2
20,4,114,91.00,2582,14,73,2
19,4,121,112.0,2868,15.5,73,2
15,8,318,150.0,3399,11,73,1
24,4,121,110.0,2660,14,73,2
20,6,156,122.0,2807,13.5,73,3
11,8,350,180.0,3664,11,73,1
20,6,198,95.00,3102,16.5,74,1
21,6,200,104.0,2875,17,74,1
19,6,232,100.0,2901,16,74,1
15,6,250,100.0,3336,17,74,1
31,4,79,67.00,1950,19,74,3
26,4,122,80.00,2451,16.5,74,1
32,4,71,65.00,1836,21,74,3
25,4,140,75.00,2542,17,74,1
16,6,250,100.0,3781,17,74,1
16,6,258,110.0,3632,18,74,1
18,6,225,105.0,3613,16.5,74,1
16,8,302,140.0,4141,14,74,1
13,8,350,150.0,4699,14.5,74,1
14,8,318,150.0,4457,13.5,74,1
14,8,302,140.0,4638,16,74,1
14,8,304,150.0,4257,15.5,74,1
29,4,98,83.00,2219,16.5,74,2
26,4,79,67.00,1963,15.5,74,2
26,4,97,78.00,2300,14.5,74,2
31,4,76,52.00,1649,16.5,74,3
32,4,83,61.00,2003,19,74,3
28,4,90,75.00,2125,14.5,74,1
24,4,90,75.00,2108,15.5,74,2
26,4,116,75.00,2246,14,74,2
24,4,120,97.00,2489,15,74,3
26,4,108,93.00,2391,15.5,74,3
31,4,79,67.00,2000,16,74,2
19,6,225,95.00,3264,16,75,1
18,6,250,105.0,3459,16,75,1
15,6,250,72.00,3432,21,75,1
15,6,250,72.00,3158,19.5,75,1
16,8,400,170.0,4668,11.5,75,1
15,8,350,145.0,4440,14,75,1
16,8,318,150.0,4498,14.5,75,1
14,8,351,148.0,4657,13.5,75,1
17,6,231,110.0,3907,21,75,1
16,6,250,105.0,3897,18.5,75,1
15,6,258,110.0,3730,19,75,1
18,6,225,95.00,3785,19,75,1
21,6,231,110.0,3039,15,75,1
20,8,262,110.0,3221,13.5,75,1
13,8,302,129.0,3169,12,75,1
29,4,97,75.00,2171,16,75,3
23,4,140,83.00,2639,17,75,1
20,6,232,100.0,2914,16,75,1
23,4,140,78.00,2592,18.5,75,1
24,4,134,96.00,2702,13.5,75,3
25,4,90,71.00,2223,16.5,75,2
24,4,119,97.00,2545,17,75,3
18,6,171,97.00,2984,14.5,75,1
29,4,90,70.00,1937,14,75,2
19,6,232,90.00,3211,17,75,1
23,4,115,95.00,2694,15,75,2
23,4,120,88.00,2957,17,75,2
22,4,121,98.00,2945,14.5,75,2
25,4,121,115.0,2671,13.5,75,2
33,4,91,53.00,1795,17.5,75,3
28,4,107,86.00,2464,15.5,76,2
25,4,116,81.00,2220,16.9,76,2
25,4,140,92.00,2572,14.9,76,1
26,4,98,79.00,2255,17.7,76,1
27,4,101,83.00,2202,15.3,76,2
17.5,8,305,140.0,4215,13,76,1
16,8,318,150.0,4190,13,76,1
15.5,8,304,120.0,3962,13.9,76,1
14.5,8,351,152.0,4215,12.8,76,1
22,6,225,100.0,3233,15.4,76,1
22,6,250,105.0,3353,14.5,76,1
24,6,200,81.00,3012,17.6,76,1
22.5,6,232,90.00,3085,17.6,76,1
29,4,85,52.00,2035,22.2,76,1
24.5,4,98,60.00,2164,22.1,76,1
29,4,90,70.00,1937,14.2,76,2
33,4,91,53.00,1795,17.4,76,3
20,6,225,100.0,3651,17.7,76,1
18,6,250,78.00,3574,21,76,1
18.5,6,250,110.0,3645,16.2,76,1
17.5,6,258,95.00,3193,17.8,76,1
29.5,4,97,71.00,1825,12.2,76,2
32,4,85,70.00,1990,17,76,3
28,4,97,75.00,2155,16.4,76,3
26.5,4,140,72.00,2565,13.6,76,1
20,4,130,102.0,3150,15.7,76,2
13,8,318,150.0,3940,13.2,76,1
19,4,120,88.00,3270,21.9,76,2
19,6,156,108.0,2930,15.5,76,3
16.5,6,168,120.0,3820,16.7,76,2
16.5,8,350,180.0,4380,12.1,76,1
13,8,350,145.0,4055,12,76,1
13,8,302,130.0,3870,15,76,1
13,8,318,150.0,3755,14,76,1
31.5,4,98,68.00,2045,18.5,77,3
30,4,111,80.00,2155,14.8,77,1
36,4,79,58.00,1825,18.6,77,2
25.5,4,122,96.00,2300,15.5,77,1
33.5,4,85,70.00,1945,16.8,77,3
17.5,8,305,145.0,3880,12.5,77,1
17,8,260,110.0,4060,19,77,1
15.5,8,318,145.0,4140,13.7,77,1
15,8,302,130.0,4295,14.9,77,1
17.5,6,250,110.0,3520,16.4,77,1
20.5,6,231,105.0,3425,16.9,77,1
19,6,225,100.0,3630,17.7,77,1
18.5,6,250,98.00,3525,19,77,1
16,8,400,180.0,4220,11.1,77,1
15.5,8,350,170.0,4165,11.4,77,1
15.5,8,400,190.0,4325,12.2,77,1
16,8,351,149.0,4335,14.5,77,1
29,4,97,78.00,1940,14.5,77,2
24.5,4,151,88.00,2740,16,77,1
26,4,97,75.00,2265,18.2,77,3
25.5,4,140,89.00,2755,15.8,77,1
30.5,4,98,63.00,2051,17,77,1
33.5,4,98,83.00,2075,15.9,77,1
30,4,97,67.00,1985,16.4,77,3
30.5,4,97,78.00,2190,14.1,77,2
22,6,146,97.00,2815,14.5,77,3
21.5,4,121,110.0,2600,12.8,77,2
21.5,3,80,110.0,2720,13.5,77,3
43.1,4,90,48.00,1985,21.5,78,2
36.1,4,98,66.00,1800,14.4,78,1
32.8,4,78,52.00,1985,19.4,78,3
39.4,4,85,70.00,2070,18.6,78,3
36.1,4,91,60.00,1800,16.4,78,3
19.9,8,260,110.0,3365,15.5,78,1
19.4,8,318,140.0,3735,13.2,78,1
20.2,8,302,139.0,3570,12.8,78,1
19.2,6,231,105.0,3535,19.2,78,1
20.5,6,200,95.00,3155,18.2,78,1
20.2,6,200,85.00,2965,15.8,78,1
25.1,4,140,88.00,2720,15.4,78,1
20.5,6,225,100.0,3430,17.2,78,1
19.4,6,232,90.00,3210,17.2,78,1
20.6,6,231,105.0,3380,15.8,78,1
20.8,6,200,85.00,3070,16.7,78,1
18.6,6,225,110.0,3620,18.7,78,1
18.1,6,258,120.0,3410,15.1,78,1
19.2,8,305,145.0,3425,13.2,78,1
17.7,6,231,165.0,3445,13.4,78,1
18.1,8,302,139.0,3205,11.2,78,1
17.5,8,318,140.0,4080,13.7,78,1
30,4,98,68.00,2155,16.5,78,1
27.5,4,134,95.00,2560,14.2,78,3
27.2,4,119,97.00,2300,14.7,78,3
30.9,4,105,75.00,2230,14.5,78,1
21.1,4,134,95.00,2515,14.8,78,3
23.2,4,156,105.0,2745,16.7,78,1
23.8,4,151,85.00,2855,17.6,78,1
23.9,4,119,97.00,2405,14.9,78,3
20.3,5,131,103.0,2830,15.9,78,2
17,6,163,125.0,3140,13.6,78,2
21.6,4,121,115.0,2795,15.7,78,2
16.2,6,163,133.0,3410,15.8,78,2
31.5,4,89,71.00,1990,14.9,78,2
29.5,4,98,68.00,2135,16.6,78,3
21.5,6,231,115.0,3245,15.4,79,1
19.8,6,200,85.00,2990,18.2,79,1
22.3,4,140,88.00,2890,17.3,79,1
20.2,6,232,90.00,3265,18.2,79,1
20.6,6,225,110.0,3360,16.6,79,1
17,8,305,130.0,3840,15.4,79,1
17.6,8,302,129.0,3725,13.4,79,1
16.5,8,351,138.0,3955,13.2,79,1
18.2,8,318,135.0,3830,15.2,79,1
16.9,8,350,155.0,4360,14.9,79,1
15.5,8,351,142.0,4054,14.3,79,1
19.2,8,267,125.0,3605,15,79,1
18.5,8,360,150.0,3940,13,79,1
31.9,4,89,71.00,1925,14,79,2
34.1,4,86,65.00,1975,15.2,79,3
35.7,4,98,80.00,1915,14.4,79,1
27.4,4,121,80.00,2670,15,79,1
25.4,5,183,77.00,3530,20.1,79,2
23,8,350,125.0,3900,17.4,79,1
27.2,4,141,71.00,3190,24.8,79,2
23.9,8,260,90.00,3420,22.2,79,1
34.2,4,105,70.00,2200,13.2,79,1
34.5,4,105,70.00,2150,14.9,79,1
31.8,4,85,65.00,2020,19.2,79,3
37.3,4,91,69.00,2130,14.7,79,2
28.4,4,151,90.00,2670,16,79,1
28.8,6,173,115.0,2595,11.3,79,1
26.8,6,173,115.0,2700,12.9,79,1
33.5,4,151,90.00,2556,13.2,79,1
41.5,4,98,76.00,2144,14.7,80,2
38.1,4,89,60.00,1968,18.8,80,3
32.1,4,98,70.00,2120,15.5,80,1
37.2,4,86,65.00,2019,16.4,80,3
28,4,151,90.00,2678,16.5,80,1
26.4,4,140,88.00,2870,18.1,80,1
24.3,4,151,90.00,3003,20.1,80,1
19.1,6,225,90.00,3381,18.7,80,1
34.3,4,97,78.00,2188,15.8,80,2
29.8,4,134,90.00,2711,15.5,80,3
31.3,4,120,75.00,2542,17.5,80,3
37,4,119,92.00,2434,15,80,3
32.2,4,108,75.00,2265,15.2,80,3
46.6,4,86,65.00,2110,17.9,80,3
27.9,4,156,105.0,2800,14.4,80,1
40.8,4,85,65.00,2110,19.2,80,3
44.3,4,90,48.00,2085,21.7,80,2
43.4,4,90,48.00,2335,23.7,80,2
36.4,5,121,67.00,2950,19.9,80,2
30,4,146,67.00,3250,21.8,80,2
44.6,4,91,67.00,1850,13.8,80,3
40.9,4,85,104.0,1835,17.3,80,2
33.8,4,97,67.00,2145,18,80,3
29.8,4,89,62.00,1845,15.3,80,2
32.7,6,168,132.0,2910,11.4,80,3
23.7,3,70,100.0,2420,12.5,80,3
35,4,122,88.00,2500,15.1,80,2
23.6,4,140,104.0,2905,14.3,80,1
32.4,4,107,72.00,2290,17,80,3
27.2,4,135,84.00,2490,15.7,81,1
26.6,4,151,84.00,2635,16.4,81,1
25.8,4,156,92.00,2620,14.4,81,1
23.5,6,173,110.0,2725,12.6,81,1
30,4,135,84.00,2385,12.9,81,1
39.1,4,79,58.00,1755,16.9,81,3
39,4,86,64.00,1875,16.4,81,1
35.1,4,81,60.00,1760,16.1,81,3
32.3,4,97,67.00,2065,17.8,81,3
37,4,85,65.00,1975,19.4,81,3
37.7,4,89,62.00,2050,17.3,81,3
34.1,4,91,68.00,1985,16,81,3
34.7,4,105,63.00,2215,14.9,81,1
34.4,4,98,65.00,2045,16.2,81,1
29.9,4,98,65.00,2380,20.7,81,1
33,4,105,74.00,2190,14.2,81,2
34.5,4,100,104.0,2320,15.8,81,2
33.7,4,107,75.00,2210,14.4,81,3
32.4,4,108,75.00,2350,16.8,81,3
32.9,4,119,100.0,2615,14.8,81,3
31.6,4,120,74.00,2635,18.3,81,3
28.1,4,141,80.00,3230,20.4,81,2
30.7,6,145,76.00,3160,19.6,81,2
25.4,6,168,116.0,2900,12.6,81,3
24.2,6,146,120.0,2930,13.8,81,3
22.4,6,231,110.0,3415,15.8,81,1
26.6,8,350,105.0,3725,19,81,1
20.2,6,200,88.00,3060,17.1,81,1
17.6,6,225,85.00,3465,16.6,81,1
28,4,112,88.00,2605,19.6,82,1
27,4,112,88.00,2640,18.6,82,1
34,4,112,88.00,2395,18,82,1
31,4,112,85.00,2575,16.2,82,1
29,4,135,84.00,2525,16,82,1
27,4,151,90.00,2735,18,82,1
24,4,140,92.00,2865,16.4,82,1
23,4,151,104.0,3035,20.5,82,1
36,4,105,74.00,1980,15.3,82,2
37,4,91,68.00,2025,18.2,82,3
31,4,91,68.00,1970,17.6,82,3
38,4,105,63.00,2125,14.7,82,1
36,4,98,70.00,2125,17.3,82,1
36,4,120,88.00,2160,14.5,82,3
36,4,107,75.00,2205,14.5,82,3
34,4,108,70.00,2245,16.9,82,3
38,4,91,67.00,1965,15,82,3
32,4,91,67.00,1965,15.7,82,3
38,4,91,67.00,1995,16.2,82,3
25,6,181,110.0,2945,16.4,82,1
38,6,262,85.00,3015,17,82,1
26,4,156,92.00,2585,14.5,82,1
22,6,232,112.0,2835,14.7,82,1
32,4,144,96.00,2665,13.9,82,3
36,4,135,84.00,2370,13,82,1
27,4,151,90.00,2950,17.3,82,1
27,4,140,86.00,2790,15.6,82,1
44,4,97,52.00,2130,24.6,82,2
32,4,135,84.00,2295,11.6,82,1
28,4,120,79.00,2625,18.6,82,1
31,4,119,82.00,2720,19.4,82,1
